Time,BaseLoad,CC,CT,Nuclear,Wind,IGCC,unmet
1,198082.1918,36301.36986,26027.39726,220958.9041,94178.08219,114452.0548,100000
2,1.83E+05,3.36E+04,2.41E+04,2.05E+05,8.72E+04,1.06E+05,9.26E+04
3,1.70E+05,3.11E+04,2.23E+04,1.89E+05,8.07E+04,9.81E+04,8.57E+04
4,1.57E+05,2.88E+04,2.07E+04,1.75E+05,7.48E+04,9.09E+04,7.94E+04
5,1.46E+05,2.67E+04,1.91E+04,1.62E+05,6.92E+04,8.41E+04,7.35E+04
6,1.35E+05,2.47E+04,1.77E+04,1.50E+05,6.41E+04,7.79E+04,6.81E+04
7,1.25E+05,2.29E+04,1.64E+04,1.39E+05,5.93E+04,7.21E+04,6.30E+04
8,1.16E+05,2.12E+04,1.52E+04,1.29E+05,5.50E+04,6.68E+04,5.83E+04
9,1.07E+05,1.96E+04,1.41E+04,1.19E+05,5.09E+04,6.18E+04,5.40E+04
10,9.91E+04,1.82E+04,1.30E+04,1.11E+05,4.71E+04,5.73E+04,5.00E+04
11,9.18E+04,1.68E+04,1.21E+04,1.02E+05,4.36E+04,5.30E+04,4.63E+04
