Time,BaseLoad,CC,CT,Nuclear,Wind,IGCC
1,7.92E-05,0.000122514,0.000257634,5.31E-07,5.00E-06,6.35E-05
2,7.49E-05,0.000115728,0.000243355,5.07E-07,4.77E-06,6.00E-05
3,7.07E-05,0.000109317,0.000229867,4.83E-07,4.55E-06,5.66E-05
4,6.68E-05,0.000103262,0.000217128,4.61E-07,4.34E-06,5.35E-05
5,6.32E-05,9.75E-05,0.000205095,4.39E-07,4.14E-06,5.06E-05
6,5.97E-05,9.21E-05,0.000193728,4.19E-07,3.94E-06,4.78E-05
7,5.64E-05,8.70E-05,0.000182992,3.99E-07,3.76E-06,4.52E-05
8,5.33E-05,8.22E-05,0.000172852,3.80E-07,3.59E-06,4.27E-05
9,5.04E-05,7.77E-05,0.000163273,3.63E-07,3.42E-06,4.03E-05
10,4.76E-05,7.34E-05,0.000154226,3.46E-07,3.26E-06,3.81E-05
11,4.50E-05,6.93E-05,0.00014568,3.30E-07,3.11E-06,3.60E-05
12,4.25E-05,6.55E-05,0.000137607,3.14E-07,2.97E-06,3.40E-05
